olympiad_name,prof_name,pred_name,yrov_name
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",летающая робототехника,оптические и биотехнические системы и технологии,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",летающая робототехника,авиационная и ракетно-космическая техника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",летающая робототехника,аэронавигация и эксплуатация авиационной и ракетно-космической техники,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",летающая робототехника,управление в технических системах,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,математика и механика,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,компьютерные и информационные науки,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,информатика и вычислительная техника,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,информационная безопасность,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,электроника,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,радиотехника и системы связи,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,фотоника,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,приборостроение,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,оптические и биотехнические системы и технологии,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,электро- и теплоэнергетика,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,машиностроение,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,авиационная и ракетно-космическая техника,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,управление в технических системах,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",большие данные и машинное обучение,языкознание и литературоведение,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",виртуальные миры: разработка компьютерных игр,компьютерные и информационные науки,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",виртуальные миры: разработка компьютерных игр,информатика и вычислительная техника,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",виртуальные миры: разработка компьютерных игр,информационная безопасность,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",виртуальные миры: разработка компьютерных игр,архитектура,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",виртуальные миры: разработка компьютерных игр,культуроведение и социокультурные проекты,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",виртуальные миры: разработка компьютерных игр,изобразительное и прикладные виды искусств,III
